Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Higher Order Suppressor	Horizontal Exit Slit Size	Beamline Energy
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.172	-1	0	0	12	150	250	0.001
49.647	-2.3195	-0.25	1	2	12	150	250	0.001
49.647	-2.3198	-0.25	1.0968	2.1935	12	150	250	0.001
49.647	-2.32	-0.25	1.1935	2.3871	12	150	250	0.001
49.647	-2.3203	-0.25	1.2903	2.5806	12	150	250	0.001
49.647	-2.3205	-0.25	1.3871	2.7742	12	150	250	0.001
49.647	-2.3208	-0.25	1.4839	2.9677	12	150	250	0.001
49.647	-2.321	-0.2499	1.5806	3.1613	12	150	250	0.001
49.647	-2.3212	-0.2499	1.6774	3.3548	12	150	250	0.001
49.647	-2.3215	-0.2499	1.7742	3.5484	12	150	250	0.001
49.647	-2.3217	-0.2499	1.871	3.7419	12	150	250	0.001
49.647	-2.322	-0.2499	1.9677	3.9355	12	150	250	0.001
49.647	-2.3222	-0.2499	2.0645	4.129	12	150	250	0.001
49.647	-2.3225	-0.2499	2.1613	4.3226	12	150	250	0.001
49.647	-2.3227	-0.2499	2.2581	4.5161	12	150	250	0.001
49.647	-2.323	-0.2499	2.3548	4.7097	12	150	250	0.001
49.647	-2.3232	-0.2499	2.4516	4.9032	12	150	250	0.001
49.647	-2.3234	-0.2499	2.5484	5.0968	12	150	250	0.001
49.647	-2.3237	-0.2498	2.6452	5.2903	12	150	250	0.001
49.647	-2.3239	-0.2498	2.7419	5.4839	12	150	250	0.001
49.647	-2.3242	-0.2498	2.8387	5.6774	12	150	250	0.001
49.647	-2.3244	-0.2498	2.9355	5.871	12	150	250	0.001
49.647	-2.3247	-0.2498	3.0323	6.0645	12	150	250	0.001
49.647	-2.3249	-0.2498	3.129	6.2581	12	150	250	0.001
49.647	-2.3252	-0.2498	3.2258	6.4516	12	150	250	0.001
49.647	-2.3254	-0.2498	3.3226	6.6452	12	150	250	0.001
49.647	-2.3256	-0.2497	3.4194	6.8387	12	150	250	0.001
49.647	-2.3259	-0.2497	3.5161	7.0323	12	150	250	0.001
49.647	-2.3261	-0.2497	3.6129	7.2258	12	150	250	0.001
49.647	-2.3264	-0.2497	3.7097	7.4194	12	150	250	0.001
49.647	-2.3266	-0.2497	3.8065	7.6129	12	150	250	0.001
49.647	-2.3269	-0.2497	3.9032	7.8065	12	150	250	0.001
49.647	-2.3271	-0.2496	4	8	12	150	250	0.001
49.647	-2.3264	-0.2497	3.7097	7.4194	11	150	250	0.001
49.647	-2.3264	-0.2497	3.7097	7.4194	11	150	250	0.001
49.647	-2.3264	-0.2497	3.7097	7.4194	11	150	250	0.001
49.647	-2.3264	-0.2497	3.7097	7.4194	11	150	250	0.001
